Feature,Group,Pearson R Value,Pearson P Value,Significance for pearson,Spearman rho,Spearman P Value,Significance for spearman,Kendall Tau,Kendall P Value,Significance for kendalltau,Distance Correlation,Mutual Information
Blink Duration,High,0.1745315354105964,0.03846040785451107,Significant,0.06643224346256268,0.4338136538926064,Not Significant,0.04476923767533986,0.44411528650485654,Not Significant,0.16999178123270495,0.008387004150143262
Blink Duration,Mid,0.0020856151172830677,0.9730952713300315,Not Significant,-0.01146486582926258,0.8529120382864219,Not Significant,-0.0053518656851201185,0.9003376951662785,Not Significant,0.08201903563880707,0.0
Blink Duration,Low,-0.1618184301781265,0.05793863774454522,Significant,-0.21309197123676854,0.012094148437481004,Significant,-0.14548918484517387,0.013728616753809562,Significant,0.20923335381220637,0.0
Blink Frequency,High,-0.12837008845916076,0.12926031133779264,Not Significant,-0.09610585135577987,0.2569365175019467,Not Significant,-0.0672334010053656,0.25925355455644106,Not Significant,0.15510024341815323,0.002978241858612396
Blink Frequency,Mid,-0.06554784703611669,0.28863797896778864,Not Significant,-0.0554482478269285,0.36953598790277975,Not Significant,-0.038325083186255535,0.378557388456393,Not Significant,0.08967445696345681,0.0
Blink Frequency,Low,0.15192220910587972,0.07527444661876276,Significant,0.14129180341415362,0.0983290576398178,Significant,0.09345586708708854,0.12107864185734639,Not Significant,0.17062785321142326,0.06149818022661657
Blink Flurries,High,-0.10710011718502431,0.20620776857853446,Not Significant,-0.13391674199877915,0.1133855120869771,Not Significant,-0.09943545341374911,0.1158538233434423,Not Significant,0.16854946776492524,0.04685611971973502
Blink Flurries,Mid,-0.05065701103644679,0.41238728868836994,Not Significant,-0.08077303470826046,0.19076562378574435,Not Significant,-0.06307166078857482,0.1769409715978515,Not Significant,0.1045983890165403,0.0
Blink Flurries,Low,0.142469862172548,0.09552771738870505,Significant,0.17880539811896787,0.03587663186749452,Significant,0.1322279181458769,0.04237398701090716,Significant,0.18465034279365872,0.10986861316554641
Inter-blink intervals,High,0.11653759516578369,0.16876497373853513,Not Significant,0.1321217955219121,0.11834722090284953,Not Significant,0.09037528353152718,0.12238766795219577,Not Significant,0.16255117574139616,0.0
Inter-blink intervals,Mid,0.021644691522258647,0.7262960599536309,Not Significant,0.03661770800732951,0.5536210643509918,Not Significant,0.02347047241798488,0.5828586562425387,Not Significant,0.07291158916357296,0.0
Inter-blink intervals,Low,-0.1648475444485929,0.053341527974830785,Significant,-0.14115640670529075,0.09865513583949206,Significant,-0.08707554958149356,0.14024471893030685,Not Significant,0.17478457256438537,0.07321464542778955
